dateTime,gen_forecast,week_day
11/1/2016 0:00,49118,1
11/1/2016 1:00,47890,1
11/1/2016 2:00,47158,1
11/1/2016 3:00,45991,1
11/1/2016 4:00,45378,1
11/1/2016 5:00,45471,1
11/1/2016 6:00,45781,1
11/1/2016 7:00,46135,1
11/1/2016 8:00,46257,1
11/1/2016 9:00,46982,1
11/1/2016 10:00,46648,1
11/1/2016 11:00,46556,1
11/1/2016 12:00,46976,1
11/1/2016 13:00,47068,1
11/1/2016 14:00,46459,1
11/1/2016 15:00,46186,1
11/1/2016 16:00,46295,1
11/1/2016 17:00,46919,1
11/1/2016 18:00,50224,1
11/1/2016 19:00,51960,1
11/1/2016 20:00,51040,1
11/1/2016 21:00,49577,1
11/1/2016 22:00,49011,1
11/1/2016 23:00,49661,1
